model,train_rows,test_rows,accuracy,precision_weighted,recall_weighted,f1_weighted,f1_macro
Random Forest,800000,200000,0.998145,0.9981448885678791,0.998145,0.9981449123096616,0.9968316367186942
Decision Tree,800000,200000,0.998045,0.9980446609723993,0.998045,0.9980448039570881,0.9962904453651138
Hist Gradient Boosting,800000,200000,0.99454,0.9945539370298457,0.99454,0.9945437518143578,0.9540712241632869
Logistic Regression,800000,200000,0.99296,0.9930543306999792,0.99296,0.992986376491362,0.9820546018119571
Gaussian Naive Bayes,800000,200000,0.95155,0.9537249315071221,0.95155,0.9520894629392419,0.9308908641570806
Bernoulli Naive Bayes,800000,200000,0.79229,0.6784904436399309,0.79229,0.7224909089387497,0.33761360569079224
